end,length,minorLoss,name,roughness,start,status,tags,diameter,year
Junction-454082,"14.970000000000001","0.000000000000000",Pipe-542362,"1.000000000000000",Junction-465542,OPEN,steel,"37.200","2021"
Junction-14363,"0.570000000000000","0.000000000000000",Pipe-7802,"1.000000000000000",Junction-14366,OPEN,steel,"54.500","1990"
Junction-474822,"19.859999999999999","0.000000000000000",Pipe-547131,"1.000000000000000",Junction-474820,OPEN,steel,"82.500","2023"
Junction-44310,"10.119999999999999","0.000000000000000",Pipe-30729,"1.000000000000000",Junction-583,OPEN,steel,"28.500","2002"
Junction-26199,"45.829999999999998","0.000000000000000",Pipe-15352,"1.000000000000000",Junction-14301,OPEN,steel,"107.100","2008"
Junction-474366,"10.910000000000000","0.000000000000000",Pipe-546352,"1.000000000000000",Sensor-6,OPEN,steel,"160.300","2023"
Junction-36159,"43.030000000000001","0.000000000000000",Pipe-46074,"1.000000000000000",Junction-36160,OPEN,steel,"70.300","2006"
Junction-36162,"45.520000000000003","0.000000000000000",Pipe-302,"1.000000000000000",Junction-61172,OPEN,steel,"70.300","2006"
Junction-26283,"0.110000000000000","0.000000000000000",Pipe-46061,"1.000000000000000",Junction-55591,OPEN,steel,"54.500","1984"
Junction-456243,"73.409999999999997","0.000000000000000",Pipe-520980,"1.000000000000000",Junction-1526,OPEN,steel,"54.500","2008"
Junction-472334,"87.239999999999995","0.000000000000000",Pipe-543320,"1.000000000000000",Junction-456491,OPEN,steel,"132.500","2008"
Junction-575867,"1.040000000000000","0.000000000000000",Pipe-635597,"1.000000000000000",Junction-591466,OPEN,steel,"495.400","2003"
Junction-44556,"68.719999999999999","0.000000000000000",Pipe-538125,"1.000000000000000",Junction-471826,OPEN,steel,"54.500","2008"
Junction-475550,"0.860000000000000","0.000000000000000",Pipe-547998,"1.000000000000000",Junction-475549,OPEN,steel,"82.500","2023"
Junction-44422,"3.220000000000000","0.000000000000000",Pipe-38645,"1.000000000000000",Junction-36366,OPEN,steel,"70.300","1982"
Junction-44234,"88.290000000000006","0.000000000000000",Pipe-53612,"1.000000000000000",Junction-14328,OPEN,steel,"70.300","2004"
Junction-26128,"61.630000000000003","0.000000000000000",Pipe-30574,"1.000000000000000",Junction-44178,OPEN,steel,"82.500","2019"
Junction-36790,"1.140000000000000","0.000000000000000",Pipe-54276,"1.000000000000000",Junction-15388,OPEN,steel,"37.200","1982"
Junction-729,"27.449999999999999","0.000000000000000",Pipe-397,"1.000000000000000",Junction-719,OPEN,steel,"54.500","2003"
Junction-576516,"0.850000000000000","0.000000000000000",Pipe-636321,"1.000000000000000",Junction-576518,OPEN,steel,"393.900","2003"
Junction-45745,"3.950000000000000","0.000000000000000",Pipe-32408,"1.000000000000000",Junction-28527,OPEN,steel,"21.700","2002"
Junction-301,"8.220000000000002","0.000000000000000",Pipe-22899,"1.000000000000000",Junction-36031,OPEN,steel,"21.700","2008"
Junction-474898,"84.370000000000005","0.000000000000000",Pipe-548777,"1.000000000000000",Junction-475945,OPEN,steel,"70.300","2023"
Junction-44805,"0.560000000000000","0.000000000000000",Pipe-16010,"1.000000000000000",Junction-27067,OPEN,steel,"37.200","1980"
Junction-44965,"18.359999999999999","0.000000000000000",Pipe-46797,"1.000000000000000",Junction-55943,OPEN,steel,"28.500","1980"
Junction-29456,"55.579999999999998","0.000000000000000",Pipe-40917,"1.000000000000000",Junction-46338,OPEN,steel,"82.500","2008"
Junction-2093,"28.530000000000001","0.000000000000000",Pipe-31625,"1.000000000000000",Junction-45085,OPEN,steel,"82.500","1999"
Junction-14318,"43.520000000000003","0.000000000000000",Pipe-7771,"1.000000000000000",Junction-14317,OPEN,steel,"54.500","2004"
Junction-361,"7.700000000000000","0.000000000000000",Pipe-196,"1.000000000000000",Junction-360,OPEN,steel,"37.200","1998"
Junction-455751,"44.289999999999999","0.000000000000000",Pipe-47739,"1.000000000000000",Junction-37925,OPEN,steel,"37.200","2002"
Junction-319,"226.900000000000006","0.000000000000000",Pipe-522637,"1.000000000000000",Junction-457452,OPEN,steel,"82.500","2008"
Junction-36368,"2.410000000000000","0.000000000000000",Pipe-23231,"1.000000000000000",Junction-36367,OPEN,steel,"54.500","1980"
Junction-591520,"10.240000000000000","0.000000000000000",Pipe-653680,"1.000000000000000",Junction-591522,OPEN,steel,"82.500","2024"
Junction-26237,"48.829999999999998","0.000000000000000",Pipe-544603,"1.000000000000000",Junction-26239,OPEN,steel,"107.100","2008"
Junction-26352,"80.719999999999999","0.000000000000000",Pipe-30694,"1.000000000000000",Junction-44280,OPEN,steel,"70.300","1984"
Junction-14309,"97.019999999999996","0.000000000000000",Pipe-549301,"1.000000000000000",Junction-476509,OPEN,steel,"132.500","2015"
Junction-475470,"52.859999999999999","0.000000000000000",Pipe-547897,"1.000000000000000",Junction-455760,OPEN,steel,"107.100","2024"
Junction-44308,"14.000000000000000","0.000000000000000",Pipe-30727,"1.000000000000000",Junction-26267,OPEN,steel,"160.300","2002"
Junction-474650,"1.610000000000000","0.000000000000000",Pipe-546822,"1.000000000000000",Junction-456267,OPEN,steel,"21.700","2023"
Junction-61174,"9.270000000000000","0.000000000000000",Pipe-346,"1.000000000000000",Junction-633,OPEN,steel,"21.700","2003"
Junction-473695,"94.849999999999994","0.000000000000000",Pipe-520079,"1.000000000000000",Junction-15627,OPEN,steel,"54.500","2008"
Junction-50761,"4.460000000000000","0.000000000000000",Pipe-38454,"1.000000000000000",Junction-468223,OPEN,steel,"28.500","2006"
Junction-1351,"72.739999999999995","0.000000000000000",Pipe-728,"1.000000000000000",Junction-1348,OPEN,steel,"43.100","1999"
Junction-15235,"10.100000000000000","0.000000000000000",Pipe-39085,"1.000000000000000",Junction-51147,OPEN,steel,"28.500","1999"
Junction-14282,"0.300000000000000","0.000000000000000",Pipe-7747,"1.000000000000000",Junction-14281,OPEN,steel,"37.200","1991"
Junction-26555,"57.030000000000001","0.000000000000000",Pipe-38638,"1.000000000000000",Junction-14713,OPEN,steel,"160.300","1982"
Junction-2100,"11.850000000000000","0.000000000000000",Pipe-8730,"1.000000000000000",Junction-15869,OPEN,steel,"37.200","1999"
Junction-475638,"17.949999999999999","0.000000000000000",Pipe-548220,"1.000000000000000",Junction-475714,OPEN,steel,"43.100","2023"
Junction-455803,"62.549999999999997","0.000000000000000",Pipe-545609,"1.000000000000000",Junction-473767,OPEN,steel,"70.300","2007"
Junction-14138,"143.289999999999992","0.000000000000000",Pipe-7653,"1.000000000000000",Junction-14139,OPEN,steel,"82.500","2001"
Junction-44339,"42.369999999999997","0.000000000000000",Pipe-30766,"1.000000000000000",Junction-646,OPEN,steel,"344.400","2003"
Junction-44384,"0.560000000000000","0.000000000000000",Pipe-30824,"1.000000000000000",Junction-44383,OPEN,steel,"70.300","1975"
Junction-58948,"108.969999999999999","0.000000000000000",Pipe-53465,"1.000000000000000",Junction-35960,OPEN,steel,"70.300","2008"
Junction-16634,"38.759999999999998","0.000000000000000",Pipe-24407,"1.000000000000000",Junction-45528,OPEN,steel,"70.300","2006"
Junction-15206,"0.150000000000000","0.000000000000000",Pipe-520311,"1.000000000000000",Junction-15204,OPEN,steel,"160.300","2008"
Junction-456042,"17.270000000000000","0.000000000000000",Pipe-520852,"1.000000000000000",Junction-455364,OPEN,steel,"37.200","2008"
Junction-36199,"15.720000000000001","0.000000000000000",Pipe-23064,"1.000000000000000",Junction-14492,OPEN,steel,"70.300","1982"
Junction-470831,"4.240000000000000","0.000000000000000",Pipe-541135,"1.000000000000000",Junction-470827,OPEN,steel,"43.100","2018"
Junction-36139,"72.599999999999994","0.000000000000000",Pipe-7804,"1.000000000000000",Junction-14368,OPEN,steel,"54.500","1990"
Junction-2413,"25.649999999999999","0.000000000000000",Pipe-24089,"1.000000000000000",Junction-37289,OPEN,steel,"37.200","1999"
Junction-36088,"69.620000000000005","0.000000000000000",Pipe-22959,"1.000000000000000",Junction-36085,OPEN,steel,"312.700","2004"
Junction-1551,"12.160000000000000","0.000000000000000",Pipe-834,"1.000000000000000",Junction-55870,OPEN,steel,"28.500","1982"
Junction-471682,"0.450000000000000","0.000000000000000",Pipe-542359,"1.000000000000000",Junction-465541,OPEN,steel,"37.200","2017"
Junction-473607,"4.380000000000000","0.000000000000000",Pipe-545350,"1.000000000000000",Junction-55521,OPEN,steel,"70.300","2002"
Junction-602,"34.340000000000003","0.000000000000000",Pipe-7888,"1.000000000000000",Junction-44324,OPEN,steel,"54.500","1979"
Junction-27035,"7.780000000000000","0.000000000000000",Pipe-544115,"1.000000000000000",Junction-472863,OPEN,steel,"132.500","2021"
Junction-36362,"0.300000000000000","0.000000000000000",Pipe-23226,"1.000000000000000",Junction-26552,OPEN,steel,"37.200","1982"
Junction-14260,"5.970000000000000","0.000000000000000",Pipe-7731,"1.000000000000000",Junction-14259,OPEN,steel,"37.200","1991"
Junction-27494,"17.760000000000002","0.000000000000000",Pipe-16329,"1.000000000000000",Junction-27493,OPEN,steel,"18.000","2019"
Junction-27255,"45.009999999999998","0.000000000000000",Pipe-39246,"1.000000000000000",Junction-1820,OPEN,steel,"107.100","1995"
Junction-14520,"21.129999999999999","0.000000000000000",Pipe-46117,"1.000000000000000",Junction-44328,OPEN,steel,"54.500","2006"
Junction-283,"7.400000000000000","0.000000000000000",Pipe-153,"1.000000000000000",Junction-282,OPEN,steel,"28.500","2002"
Junction-1813,"15.580000000000000","0.000000000000000",Pipe-54426,"1.000000000000000",Junction-27245,OPEN,steel,"37.200","2000"
Junction-476509,"0.630000000000000","0.000000000000000",Pipe-549302,"1.000000000000000",Junction-476508,OPEN,steel,"132.500","2015"
Junction-960,"29.399999999999999","0.000000000000000",Pipe-30926,"1.000000000000000",Junction-44406,OPEN,steel,"43.100","2006"
Junction-270,"134.960000000000008","0.000000000000000",Pipe-7674,"1.000000000000000",Junction-456198,OPEN,steel,"107.100","2007"
Junction-27245,"9.050000000000001","0.000000000000000",Pipe-16144,"1.000000000000000",Junction-15647,OPEN,steel,"54.500","2000"
Junction-55594,"32.320000000000000","0.000000000000000",Pipe-38457,"1.000000000000000",Junction-44283,OPEN,steel,"70.300","2006"
Junction-26087,"12.630000000000001","0.000000000000000",Pipe-15273,"1.000000000000000",Junction-288,OPEN,steel,"54.500","1999"
Junction-1313,"58.750000000000000","0.000000000000000",Pipe-537916,"1.000000000000000",Junction-466870,OPEN,steel,"132.500","2008"
Junction-310,"68.519999999999996","0.000000000000000",Pipe-53559,"1.000000000000000",Junction-26129,OPEN,steel,"82.500","1995"
Junction-26347,"32.780000000000001","0.000000000000000",Pipe-38495,"1.000000000000000",Junction-36201,OPEN,steel,"37.200","1975"
Junction-15885,"0.300000000000000","0.000000000000000",Pipe-8741,"1.000000000000000",Junction-15884,OPEN,steel,"54.500","1975"
Junction-302,"8.199999999999999","0.000000000000000",Pipe-163,"1.000000000000000",Junction-301,OPEN,steel,"28.500","2008"
Junction-27714,"0.210000000000000","0.000000000000000",Pipe-54802,"1.000000000000000",Junction-27713,OPEN,steel,"43.100","1975"
Junction-474938,"76.010000000000005","0.000000000000000",Pipe-547899,"1.000000000000000",Junction-475470,OPEN,steel,"107.100","2024"
Junction-44698,"12.800000000000001","0.000000000000000",Pipe-31169,"1.000000000000000",Junction-15238,OPEN,steel,"28.500","2000"
Junction-470505,"12.640000000000001","0.000000000000000",Pipe-540667,"1.000000000000000",Junction-468320,OPEN,steel,"28.500","2018"
Junction-26462,"103.430000000000007","0.000000000000000",Pipe-15544,"1.000000000000000",Junction-26461,OPEN,steel,"107.100","1982"
Junction-26141,"79.849999999999994","0.000000000000000",Pipe-15312,"1.000000000000000",Junction-26140,OPEN,steel,"54.500","2006"
Junction-626,"96.299999999999997","0.000000000000000",Pipe-342,"1.000000000000000",Junction-625,OPEN,steel,"160.300","2006"
Junction-455967,"19.350000000000001","0.000000000000000",Pipe-24419,"1.000000000000000",Junction-16182,OPEN,steel,"312.700","2008"
Junction-51356,"75.519999999999996","0.000000000000000",Pipe-54615,"1.000000000000000",Junction-2110,OPEN,steel,"263.000","1975"
Junction-44696,"69.000000000000000","0.000000000000000",Pipe-8334,"1.000000000000000",Junction-26917,OPEN,steel,"43.100","1999"
Junction-15373,"9.050000000000001","0.000000000000000",Pipe-54270,"1.000000000000000",Junction-59172,OPEN,steel,"28.500","1999"
Junction-59385,"41.899999999999999","0.000000000000000",Pipe-39944,"1.000000000000000",Junction-16650,OPEN,steel,"43.100","2006"
Junction-468225,"10.859999999999999","0.000000000000000",Pipe-53845,"1.000000000000000",Junction-59066,OPEN,steel,"28.500","2006"
Junction-2079,"21.250000000000000","0.000000000000000",Pipe-16308,"1.000000000000000",Junction-2081,OPEN,steel,"28.500","1999"
Junction-17082,"28.070000000000000","0.000000000000000",Pipe-55391,"1.000000000000000",Junction-17081,OPEN,steel,"54.500","2000"
Junction-468320,"22.859999999999999","0.000000000000000",Pipe-541388,"1.000000000000000",Junction-26543,OPEN,steel,"37.200","2019"
Junction-475104,"3.900000000000000","0.000000000000000",Pipe-547570,"1.000000000000000",Junction-475122,OPEN,steel,"70.300","2023"
Junction-44229,"2.690000000000000","0.000000000000000",Pipe-30639,"1.000000000000000",Junction-44228,OPEN,steel,"70.300","2005"
Junction-14374,"12.859999999999999","0.000000000000000",Pipe-7807,"1.000000000000000",Junction-14373,OPEN,steel,"54.500","1990"
Junction-15014,"5.540000000000000","0.000000000000000",Pipe-537662,"1.000000000000000",Junction-468469,OPEN,steel,"37.200","2008"
Junction-14449,"21.989999999999998","0.000000000000000",Pipe-53681,"1.000000000000000",Junction-36172,OPEN,steel,"28.500","2003"
Junction-37119,"43.219999999999999","0.000000000000000",Pipe-521088,"1.000000000000000",Junction-455376,OPEN,steel,"37.200","2023"
Junction-27932,"9.199999999999999","0.000000000000000",Pipe-16662,"1.000000000000000",Junction-16442,OPEN,steel,"28.500","2002"
Junction-472693,"92.810000000000002","0.000000000000000",Pipe-543989,"1.000000000000000",Junction-472778,OPEN,steel,"132.500","2020"
Junction-44333,"41.890000000000001","0.000000000000000",Pipe-30759,"1.000000000000000",Junction-44335,OPEN,steel,"160.300","2003"
Junction-50698,"21.699999999999999","0.000000000000000",Pipe-30614,"1.000000000000000",Junction-44208,OPEN,steel,"43.100","1991"
Junction-474819,"18.300000000000001","0.000000000000000",Pipe-15494,"1.000000000000000",Junction-581,OPEN,steel,"210.100","2002"
Junction-475239,"28.829999999999998","0.000000000000000",Pipe-547434,"1.000000000000000",Junction-475117,OPEN,steel,"43.100","2023"
Junction-14460,"12.220000000000001","0.000000000000000",Pipe-30723,"1.000000000000000",Junction-44303,OPEN,steel,"43.100","2003"
Junction-475025,"1.990000000000000","0.000000000000000",Pipe-548705,"1.000000000000000",Junction-475547,OPEN,steel,"132.500","2023"
Junction-27255,"24.940000000000001","0.000000000000000",Pipe-23791,"1.000000000000000",Junction-36973,OPEN,steel,"263.000","1982"
Junction-44811,"10.000000000000000","0.000000000000000",Pipe-31295,"1.000000000000000",Junction-44810,OPEN,steel,"28.500","1980"
Junction-36973,"119.260000000000005","0.000000000000000",Pipe-31468,"1.000000000000000",Junction-1553,OPEN,steel,"344.400","2012"
Junction-731,"29.719999999999999","0.000000000000000",Pipe-15536,"1.000000000000000",Junction-14539,OPEN,steel,"37.200","2003"
Junction-36271,"22.059999999999999","0.000000000000000",Pipe-15520,"1.000000000000000",Junction-709,OPEN,steel,"37.200","2006"
Junction-475037,"1.250000000000000","0.000000000000000",Pipe-547345,"1.000000000000000",Junction-455155,OPEN,steel,"210.100","2008"
Junction-26386,"35.250000000000000","0.000000000000000",Pipe-15493,"1.000000000000000",Junction-61175,OPEN,steel,"43.100","2003"
Junction-26460,"0.130000000000000","0.000000000000000",Pipe-30806,"1.000000000000000",Junction-26462,OPEN,steel,"107.100","1982"
Junction-62326,"59.740000000000002","0.000000000000000",Pipe-549611,"1.000000000000000",Junction-476731,OPEN,steel,"43.100","2022"
Junction-452,"30.949999999999999","0.000000000000000",Pipe-7784,"1.000000000000000",Junction-14339,OPEN,steel,"37.200","2025"
Junction-1342,"49.140000000000001","0.000000000000000",Pipe-723,"1.000000000000000",Junction-1341,OPEN,steel,"54.500","1999"
Junction-14182,"4.950000000000000","0.000000000000000",Pipe-155,"1.000000000000000",Junction-285,OPEN,steel,"54.500","1994"
Junction-14549,"16.460000000000001","0.000000000000000",Pipe-23091,"1.000000000000000",Junction-36227,OPEN,steel,"28.500","1975"
Junction-456027,"72.400000000000006","0.000000000000000",Pipe-239,"1.000000000000000",Junction-26202,OPEN,steel,"82.500","2006"
Junction-468,"4.200000000000000","0.000000000000000",Pipe-256,"1.000000000000000",Junction-467,OPEN,steel,"54.000","1991"
Junction-36976,"34.020000000000003","0.000000000000000",Pipe-54434,"1.000000000000000",Junction-51238,OPEN,steel,"43.100","1995"
Junction-55604,"154.449999999999989","0.000000000000000",Pipe-38492,"1.000000000000000",Junction-50779,OPEN,steel,"54.500","2007"
Junction-561,"28.530000000000001","0.000000000000000",Pipe-306,"1.000000000000000",Junction-44290,OPEN,steel,"70.300","2006"
Junction-14598,"84.700000000000003","0.000000000000000",Pipe-7945,"1.000000000000000",Junction-14597,OPEN,steel,"160.300","2008"
Junction-15631,"14.130000000000001","0.000000000000000",Pipe-8582,"1.000000000000000",Junction-1801,OPEN,steel,"70.300","1999"
Junction-36314,"28.010000000000002","0.000000000000000",Pipe-421,"1.000000000000000",Junction-772,OPEN,steel,"28.500","2002"
Junction-455320,"22.750000000000000","0.000000000000000",Pipe-519997,"1.000000000000000",Junction-455319,OPEN,steel,"54.500","2008"
Junction-453316,"14.539999999999999","0.000000000000000",Pipe-518212,"1.000000000000000",Junction-453317,OPEN,steel,"28.800","2023"
Junction-468518,"49.369999999999997","0.000000000000000",Pipe-522124,"1.000000000000000",Junction-455605,OPEN,steel,"132.500","2008"
Junction-14259,"7.960000000000000","0.000000000000000",Pipe-45977,"1.000000000000000",Junction-55558,OPEN,steel,"28.500","1991"
Junction-27477,"19.969999999999999","0.000000000000000",Pipe-54603,"1.000000000000000",Junction-15864,OPEN,steel,"82.500","1999"
Junction-36162,"11.140000000000001","0.000000000000000",Pipe-46075,"1.000000000000000",Junction-59016,OPEN,steel,"28.500","2006"
Junction-36550,"30.699999999999999","0.000000000000000",Pipe-23401,"1.000000000000000",Junction-26756,OPEN,steel,"37.200","2000"
Junction-2113,"26.289999999999999","0.000000000000000",Pipe-16321,"1.000000000000000",Junction-15876,OPEN,steel,"107.100","1975"
Junction-455876,"0.250000000000000","0.000000000000000",Pipe-521021,"1.000000000000000",Junction-455153,OPEN,steel,"160.300","2009"
Junction-14342,"20.559999999999999","0.000000000000000",Pipe-46008,"1.000000000000000",Junction-452,OPEN,steel,"37.200","1991"
Junction-51238,"22.530000000000001","0.000000000000000",Pipe-46789,"1.000000000000000",Junction-55938,OPEN,steel,"37.200","1995"
Junction-455151,"1.230000000000000","0.000000000000000",Pipe-548025,"1.000000000000000",Junction-456605,OPEN,steel,"70.300","2008"
Junction-14181,"25.020000000000000","0.000000000000000",Pipe-7680,"1.000000000000000",Junction-14182,OPEN,steel,"43.100","2002"
Junction-2410,"6.600000000000000","0.000000000000000",Pipe-1296,"1.000000000000000",Junction-2409,OPEN,steel,"28.500","1999"
Junction-455360,"16.320000000000000","0.000000000000000",Pipe-522498,"1.000000000000000",Junction-15364,OPEN,steel,"107.100","2008"
Junction-44213,"23.210000000000001","0.000000000000000",Pipe-45988,"1.000000000000000",Junction-26185,OPEN,steel,"43.100","1991"
Junction-59075,"60.740000000000002","0.000000000000000",Pipe-53861,"1.000000000000000",Junction-59074,OPEN,steel,"28.500","1982"
Junction-14494,"249.689999999999998","0.000000000000000",Pipe-7880,"1.000000000000000",Junction-14493,OPEN,steel,"263.000","2019"
Junction-16185,"0.300000000000000","0.000000000000000",Pipe-8934,"1.000000000000000",Junction-16184,OPEN,steel,"54.500","1980"
Junction-50834,"0.300000000000000","0.000000000000000",Pipe-38571,"1.000000000000000",Junction-26460,OPEN,steel,"107.100","1982"
Junction-36303,"64.540000000000006","0.000000000000000",Pipe-46185,"1.000000000000000",Junction-36301,OPEN,steel,"37.200","1975"
Junction-474712,"1.740000000000000","0.000000000000000",Pipe-546931,"1.000000000000000",Junction-474711,OPEN,steel,"28.500","2023"
Junction-44216,"0.300000000000000","0.000000000000000",Pipe-30622,"1.000000000000000",Junction-415,OPEN,steel,"54.500","1991"
Junction-598,"1.660000000000000","0.000000000000000",Pipe-326,"1.000000000000000",Junction-36204,OPEN,steel,"54.500","1979"
Junction-26748,"1.560000000000000","0.000000000000000",Pipe-535805,"1.000000000000000",Junction-467224,OPEN,steel,"54.500","2017"
Junction-14695,"89.120000000000005","0.000000000000000",Pipe-542097,"1.000000000000000",Junction-36348,OPEN,steel,"107.100","2006"
Junction-327,"54.259999999999998","0.000000000000000",Pipe-176,"1.000000000000000",Junction-326,OPEN,steel,"82.500","2000"
Junction-15860,"39.229999999999997","0.000000000000000",Pipe-8725,"1.000000000000000",Junction-15859,OPEN,steel,"82.500","1999"
Junction-455347,"61.380000000000003","0.000000000000000",Pipe-45966,"1.000000000000000",Junction-455349,OPEN,steel,"107.100","2008"
Junction-475725,"87.310000000000002","0.000000000000000",Pipe-548230,"1.000000000000000",Junction-475549,OPEN,steel,"82.500","2023"
Junction-15229,"10.100000000000000","0.000000000000000",Pipe-8332,"1.000000000000000",Junction-15228,OPEN,steel,"28.500","1999"
Junction-26758,"43.820000000000000","0.000000000000000",Pipe-15777,"1.000000000000000",Junction-1168,OPEN,steel,"28.500","1980"
Junction-455605,"28.879999999999999","0.000000000000000",Pipe-541696,"1.000000000000000",Junction-467633,OPEN,steel,"132.500","2008"
Junction-14102,"83.840000000000003","0.000000000000000",Pipe-7629,"1.000000000000000",Junction-14101,OPEN,steel,"54.500","2008"
Junction-55602,"5.560000000000000","0.000000000000000",Pipe-15454,"1.000000000000000",Junction-580,OPEN,steel,"37.200","2003"
Junction-36668,"90.959999999999994","0.000000000000000",Pipe-31147,"1.000000000000000",Junction-1310,OPEN,steel,"132.500","2020"
Junction-15229,"29.090000000000000","0.000000000000000",Pipe-54037,"1.000000000000000",Junction-1156,OPEN,steel,"37.200","1999"
Junction-14372,"0.500000000000000","0.000000000000000",Pipe-7806,"1.000000000000000",Junction-481,OPEN,steel,"70.300","1990"
Junction-50708,"164.780000000000001","0.000000000000000",Pipe-46001,"1.000000000000000",Junction-14309,OPEN,steel,"132.500","2015"
Junction-455799,"133.800000000000011","0.000000000000000",Pipe-15329,"1.000000000000000",Junction-26165,OPEN,steel,"70.300","2006"
Junction-771,"1.090000000000000","0.000000000000000",Pipe-15561,"1.000000000000000",Junction-14633,OPEN,steel,"54.500","1975"
Junction-45254,"10.000000000000000","0.000000000000000",Pipe-31821,"1.000000000000000",Junction-45253,OPEN,steel,"28.500","2003"
Junction-51343,"220.909999999999997","0.000000000000000",Pipe-54597,"1.000000000000000",Junction-56017,OPEN,steel,"82.500","1999"
Junction-576518,"0.970000000000000","0.000000000000000",Pipe-636320,"1.000000000000000",Junction-575867,OPEN,steel,"393.900","2003"
Junction-44948,"0.480000000000000","0.000000000000000",Pipe-31462,"1.000000000000000",Junction-44947,OPEN,steel,"82.500","2003"
Junction-26309,"11.310000000000000","0.000000000000000",Pipe-38460,"1.000000000000000",Junction-36162,OPEN,steel,"70.300","2006"
Junction-14438,"7.820000000000000","0.000000000000000",Pipe-23039,"1.000000000000000",Junction-567,OPEN,steel,"132.500","2006"
Junction-14328,"2.470000000000000","0.000000000000000",Pipe-7777,"1.000000000000000",Junction-14327,OPEN,steel,"43.100","2004"
Junction-15021,"39.600000000000001","0.000000000000000",Pipe-23398,"1.000000000000000",Junction-1162,OPEN,steel,"43.100","2000"
Junction-722,"29.309999999999999","0.000000000000000",Pipe-7946,"1.000000000000000",Junction-44365,OPEN,steel,"43.100","2005"
Junction-847,"33.469999999999999","0.000000000000000",Pipe-38618,"1.000000000000000",Junction-26536,OPEN,steel,"70.300","2006"
Junction-14304,"42.270000000000003","0.000000000000000",Pipe-547356,"1.000000000000000",Junction-475043,OPEN,steel,"107.100","2008"
Junction-456202,"24.129999999999999","0.000000000000000",Pipe-520244,"1.000000000000000",Junction-17076,OPEN,steel,"28.500","2024"
Junction-14548,"304.529999999999973","0.000000000000000",Pipe-7961,"1.000000000000000",Junction-36357,OPEN,steel,"263.000","2019"
Junction-61178,"3.820000000000000","0.000000000000000",Pipe-38482,"1.000000000000000",Junction-26332,OPEN,steel,"107.100","2003"
Junction-26362,"76.689999999999998","0.000000000000000",Pipe-53704,"1.000000000000000",Junction-599,OPEN,steel,"70.300","1984"
Junction-14402,"40.090000000000003","0.000000000000000",Pipe-7823,"1.000000000000000",Junction-516,OPEN,steel,"43.100","1990"
Junction-14597,"118.519999999999996","0.000000000000000",Pipe-543463,"1.000000000000000",Junction-472429,OPEN,steel,"160.300","2008"
Junction-475032,"0.500000000000000","0.000000000000000",Pipe-547341,"1.000000000000000",Junction-456186,CV,steel,"210.100","2008"
Junction-14479,"65.920000000000002","0.000000000000000",Pipe-23059,"1.000000000000000",Junction-36196,OPEN,steel,"54.500","1990"
Junction-14257,"24.250000000000000","0.000000000000000",Pipe-38328,"1.000000000000000",Junction-369,OPEN,steel,"37.200","1998"
Junction-26479,"12.800000000000001","0.000000000000000",Pipe-30813,"1.000000000000000",Junction-44376,OPEN,steel,"28.500","1975"
Junction-470719,"131.669999999999987","0.000000000000000",Pipe-540976,"1.000000000000000",Junction-475529,OPEN,steel,"107.100","2018"
Sensor-7,"95.290000000000006","0.000000000000000",Pipe-537313,"1.000000000000000",Junction-467477,OPEN,steel,"107.100","2008"
Junction-534,"0.430000000000000","0.000000000000000",Pipe-292,"1.000000000000000",Junction-26290,OPEN,steel,"70.300","1984"
Sensor-4,"20.250000000000000","0.000000000000000",Pipe-61318,"1.000000000000000",Junction-61173,OPEN,steel,"107.100","2004"
Junction-16650,"87.209999999999994","0.000000000000000",Pipe-24416,"1.000000000000000",Junction-37635,OPEN,steel,"54.500","2006"
Junction-15025,"33.359999999999999","0.000000000000000",Pipe-46416,"1.000000000000000",Junction-15237,OPEN,steel,"70.300","1999"
Junction-14493,"82.030000000000001","0.000000000000000",Pipe-7916,"1.000000000000000",Junction-14548,OPEN,steel,"263.000","2019"
Junction-1317,"0.360000000000000","0.000000000000000",Pipe-549063,"1.000000000000000",Junction-455773,OPEN,steel,"160.300","2008"
Junction-26337,"26.230000000000000","0.000000000000000",Pipe-53695,"1.000000000000000",Junction-583,OPEN,steel,"37.200","2002"
Junction-14228,"3.400000000000000","0.000000000000000",Pipe-7712,"1.000000000000000",Junction-14227,OPEN,steel,"54.500","1998"
Junction-455254,"11.630000000000001","0.000000000000000",Pipe-543805,"1.000000000000000",Junction-26197,OPEN,steel,"132.500","2008"
Junction-331,"43.990000000000002","0.000000000000000",Pipe-53570,"1.000000000000000",Junction-338,OPEN,steel,"70.300","2001"
Junction-420,"7.410000000000000","0.000000000000000",Pipe-22945,"1.000000000000000",Junction-36075,OPEN,steel,"28.500","1991"
Junction-14279,"41.070000000000000","0.000000000000000",Pipe-30610,"1.000000000000000",Junction-44203,OPEN,steel,"37.200","1999"
Junction-3802,"1.020000000000000","0.000000000000000",Pipe-541895,"1.000000000000000",Junction-471380,OPEN,steel,"43.100","2002"
Junction-454935,"15.260000000000000","0.000000000000000",Pipe-519563,"1.000000000000000",Junction-454932,OPEN,steel,"107.100","2024"
Junction-581,"74.620000000000005","0.000000000000000",Pipe-318,"1.000000000000000",Junction-580,OPEN,steel,"210.100","2002"
Junction-44365,"43.710000000000001","0.000000000000000",Pipe-15529,"1.000000000000000",Junction-26437,OPEN,steel,"37.200","2005"
Junction-44254,"16.770000000000000","0.000000000000000",Pipe-38407,"1.000000000000000",Junction-50728,OPEN,steel,"28.500","2006"
